barId,barName,barType,addressType,addressName,addressNumber,neighborhoodId,neighborhoodName,neighborhoodName2,neighborhoodWikidata,neighborhoodWikidata2,districtId,districtName2,districtWikidata,districtWikidata2,districtName,postCode,latitude,longitude,location,cityName,cityName2,cityWikidata,cityWikidata2
﻿99400370686,Restaurant Lounge My Way,Bars I Pubs Musicals|Restaurants,CARRER,HEURES,4,2,El Barri Gòtic,Gothic Quarter,Q17154,https://www.wikidata.org/wiki/Q17154,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8002,41.38077,2.17528,"41.38077,2.17528",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400576585,Bar Musical Bar De Retro,Bars I Pubs Musicals,CARRER,TORRENT DE L'OLLA,141,31,La Vila De Gràcia,Vila de Gràcia,Q2741611,https://www.wikidata.org/wiki/Q2741611,6,Gràcia,Q852697,https://www.wikidata.org/wiki/Q852697,Gràcia,8012,41.40357,2.15557,"41.40357,2.15557",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400592902,Bar Musical Revival,Bars I Pubs Musicals,,TRAV GRÀCIA,40,26,Sant Gervasi - Galvany,Sant Gervasi-Galvany,Q3389521,https://www.wikidata.org/wiki/Q3389521,5,Sarrià-Sant Gervasi,Q1765582,https://www.wikidata.org/wiki/Q1765582,Sarrià-sant Gervasi,8021,41.39538,2.14861,"41.39538,2.14861",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400576356,Bar Musical The Good Feeling,Bars I Pubs Musicals,CARRER,CONSELL DE CENT,319,7,La Dreta De L'eixample,Dreta de l'Eixample,Q1904302,https://www.wikidata.org/wiki/Q1904302,2,Eixample,Q64124,https://www.wikidata.org/wiki/Q64124,Eixample,8007,41.38947,2.16334,"41.38947,2.16334",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400596517,Bar Musical Decode,Bars I Pubs Musicals,CARRER,ARIBAU,97,8,L'antiga Esquerra De L'eixample,L'Antiga Esquerra de l'Eixample,Q3291762,https://www.wikidata.org/wiki/Q3291762,2,Eixample,Q64124,https://www.wikidata.org/wiki/Q64124,Eixample,8036,41.39025,2.15673,"41.39025,2.15673",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400596554,Bar Village Club,Bars I Pubs Musicals,CARRER,VALÈNCIA,193,8,L'antiga Esquerra De L'eixample,L'Antiga Esquerra de l'Eixample,Q3291762,https://www.wikidata.org/wiki/Q3291762,2,Eixample,Q64124,https://www.wikidata.org/wiki/Q64124,Eixample,8011,41.38954,2.15891,"41.38954,2.15891",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400596605,Bar Nevermind,Cocteleries|Xampanyeries|Altres Esports|Instal·lacions Esportives,CARRER,TALLERS,68,1,El Raval,El Raval,Q1758503,https://www.wikidata.org/wiki/Q1758503,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8001,41.38505,2.16644,"41.38505,2.16644",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400191791,Sala Monasterio,Bars I Pubs Musicals|Discoteques,,MOLL MESTRAL,30,67,La Vila Olímpica Del Poblenou,La Vila Olímpica del Poblenou,Q1167101,https://www.wikidata.org/wiki/Q1167101,10,Sant Martí,Q250935,https://www.wikidata.org/wiki/Q250935,Sant Martí,8005,41.38801,2.19957,"41.38801,2.19957",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400576535,Bar Musical Le Standard,Bars I Pubs Musicals,CARRER,TOPAZI,24,31,La Vila De Gràcia,Vila de Gràcia,Q2741611,https://www.wikidata.org/wiki/Q2741611,6,Gràcia,Q852697,https://www.wikidata.org/wiki/Q852697,Gràcia,8012,41.40509,2.15485,"41.40509,2.15485",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
﻿99400164991,Cocteleria Milk,Cocteleries|Xampanyeries,CARRER,GIGNÀS,21,2,El Barri Gòtic,Gothic Quarter,Q17154,https://www.wikidata.org/wiki/Q17154,1,Ciutat Vella,Q941385,https://www.wikidata.org/wiki/Q941385,Ciutat Vella,8002,41.38134,2.18014,"41.38134,2.18014",Barcelona,Barcelona,Q1492,https://www.wikidata.org/wiki/Q1492
